Year,Population,socioec quintile,Gender_Female,Gender_Male,Race_American Indian or Alaska Native,Race_Asian or Pacific Islander,Race_Black or African American,Race_More than one race,Race_White,Five-Year Age Groups_1-4 years,Five-Year Age Groups_10-14 years,Five-Year Age Groups_15-19 years,Five-Year Age Groups_20-24 years,Five-Year Age Groups_25-29 years,Five-Year Age Groups_30-34 years,Five-Year Age Groups_35-39 years,Five-Year Age Groups_40-44 years,Five-Year Age Groups_45-49 years,Five-Year Age Groups_5-9 years,Five-Year Age Groups_50-54 years,Five-Year Age Groups_55-59 years,Five-Year Age Groups_60-64 years ,Five-Year Age Groups_65-69 years,Five-Year Age Groups_70-74 years,Five-Year Age Groups_75-79 years,Five-Year Age Groups_80-84 years,Five-Year Age Groups_ 1 year,Actual Crude Rate,Predicted Crude Rate
2002,1723855,5.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.2900475968106366,-0.06551909
2021,62954,3.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,10.492212
2007,1793655,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2.620348,2.4252605
2020,297955,1.0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.6781057542246312,3.6811244
2012,8198,3.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,60.99048548426445,59.31679
2015,1498134,5.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2.33624,3.4872563
2015,303800,1.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,13.166557,4.930826
2020,1698609,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12.245314,11.931621
2016,73150,3.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,6.835269993164729,7.462842
2013,1286923,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.3885236335041024,0.6365936
2018,42689,1.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,11.712619175900116,11.278795
2017,228669,5.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2.1865666093786214,4.6467695
2015,414705,3.0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.2056763241340231,0.79272306
2016,20149,5.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,24.81512730160306,24.562645
2001,1320522,3.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3786381446125093,0.28150588
2019,635485,4.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.7868006325877086,0.60233146
2000,759659,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.658190056327905,0.5750728
2000,859240,3.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5819095945253946,1.16466
2018,165277,3.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,33.277468,21.007032
2021,289266,4.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,17.6,23.92828
2021,135961,4.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3.677525172659807,3.6754062
1999,254643,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.9635332602898965,1.8685832
2021,1696819,5.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,24.6,25.756079
2013,192233,5.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2.601010232374254,3.1472204
2006,93962,3.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5.321300100040442,6.0196652
2005,148335,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3.370748643273671,3.337307
2021,61655,1.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8.109642364771714,6.1351886
2004,888905,2.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.5624898048722867,0.38334784
2020,300737,5.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,65.173224,44.02737
1999,97367,5.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5.135210081444432,5.3037987
2013,272830,5.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.8326430377890992,1.6885754
2021,7350,4.0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,60.427208
2021,1093410,3.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3.4,7.5270414
2017,736123,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.6792343127439301,2.052664
2003,874692,3.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5716297851129312,0.6117495
2010,1772812,4.0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2820378020906898,0.014180556
2000,186324,2.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2.6834975633842126,2.2801962
2011,324758,1.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.539607954230535,2.4953303
2011,1742961,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.950703,1.3705119
2021,1893437,4.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,25.4,28.445074
2003,282176,2.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.7719437514175551,1.66149
2001,70647,3.0,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,7.077441363398305,7.3172235
2012,290738,2.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.719761434693779,2.046697
2002,41842,1.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11.949715596768796,12.105991
2016,1653980,5.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,32.285759,19.463505
2001,1030803,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.4850587357623134,0.5374299
2013,267604,3.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.86843245990344,3.4635837
2008,54317,1.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.205221201465472,9.0391655
2001,293774,2.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.7019886034843112,1.6711261
2011,302124,2.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.6549496233334655,1.4744041
2020,274252,2.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,60.163645,60.18197
2021,5538,2.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,90.2853015529072,59.145172
2008,1912933,4.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.045515,1.6938577
2009,1778309,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3.542691,2.6974323
2021,14023,4.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,34.596622
2007,40785,1.0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.25940909648155,11.5857
2020,58208,1.0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,8.589884551951622,6.290298
2001,274920,3.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.8187108977156992,2.9533226
2021,24528,2.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,20.384866275277236,15.601643
2020,91355,1.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5.473154178753216,6.9609995
2021,206151,4.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2.425406619419746,2.4685826
2017,1648548,2.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,31.360931,28.646498
2007,891561,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5608141226455621,0.4863272
2019,1626953,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,8.912366,8.893716
2012,926971,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5393911999404511,0.6863413
2019,307058,3.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,22.796996,18.173323
2001,1858360,4.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2690544350933081,0.42052463
2003,1425350,5.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3507910337811765,0.5604183
2010,1469872,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3401656742900061,0.78347707
2017,338644,4.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.476476772067422,3.036285
2015,377731,1.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.3236933161429694,2.7820888
